Date,GOLD
42998,1316.4
42999,1294.8
43000,1297.5
43003,1311.5
43004,1301.7
43005,1287.8
43006,1288.7
43007,1284.8
43010,1275.8
43011,1274.6
43012,1276.8
43013,1273.2
43014,1274.9
43017,1285
43018,1293.8
43019,1288.9
43020,1296.5
43021,1304.6
43024,1303
43025,1286.2
43026,1283
43027,1290
43028,1280.5
43031,1280.9
43032,1278.3
43033,1279
43034,1269.6
43035,1271.8
43038,1277.7
43039,1270.5
43040,1277.3
43041,1278.1
43042,1269.2
43045,1281.6
43046,1275.8
43047,1283.7
43048,1287.5
43049,1274.2
43052,1278.9
43053,1282.9
43054,1277.7
43055,1278.2
43056,1296.5
43059,1275.3
43060,1281.7
43061,1296.8
43063,1291.8
43066,1298.9
43067,1299.2
43068,1286.2
43069,1276.7
43070,1282.3
43073,1277.7
43074,1264.9
43075,1266.1
43076,1253.1
43077,1248.4
43080,1246.9
43081,1241.7
43082,1248.6
43083,1257.1
43084,1257.5
43087,1265.5
43088,1264.2
43089,1269.6
43090,1270.6
43091,1278.8
43095,1287.5
43096,1291.4
43097,1297.2
43098,1309.3
43102,1316.1
43103,1318.5
43104,1321.6
43105,1322.3
43108,1320.4
43109,1313.7
43110,1319.3
43111,1322.5
43112,1334.9
43116,1337.1
43117,1339.2
43118,1327.2
43119,1333.1
43122,1331.9
43123,1336.7
43124,1361.4
43125,1368
43126,1357.2
43129,1345.1
43130,1340
43131,1343.1
43132,1347.9
43133,1337.3
43136,1336.5
43137,1329.5
43138,1314.6
43139,1319
43140,1315.7
43143,1326.4
43144,1330.4
43145,1358
43146,1355.3
43147,1356.2
43151,1331.2
43152,1332.1
43153,1332.7
43154,1330.3
43157,1332.8
43158,1315.5
43159,1317.9
43160,1305.2
43161,1323.4
43164,1319.9
43165,1335.2
43166,1327.6
43167,1321.7
43168,1324
43171,1320.8
43172,1327.1
43173,1325.6
43174,1317.8
43175,1312.3
43178,1317.8
43179,1311.9
43180,1321.5
43181,1333.2
43182,1355.7
43185,1360.9
43186,1347.9
43187,1330
43188,1327.3
43192,1352.9
43193,1337.3
43194,1340.2
43195,1328.5
43196,1336.1
43199,1340.1
43200,1345.9
43201,1360
43202,1341.9
43203,1347.9
43206,1350.7
43207,1349.5
43208,1353.5
43209,1348.8
43210,1338.3
43213,1324
43214,1333
43215,1322.8
43216,1317.9
43217,1323.4
43220,1319.2
43221,1306.8
43222,1305.6
43223,1312.7
43224,1314.7
43227,1314.1
43228,1313.7
43229,1313
43230,1322.3
43231,1320.7
43234,1318.2
43235,1290.3
43236,1291.5
43237,1289.4
43238,1291.3
43241,1290.9
43242,1297.4
43243,1294.8
43244,1309.8
43245,1309
43249,1304.1
43250,1306.5
43251,1304.7
43252,1299.3
43255,1297.3
43256,1302.2
43257,1301.4
43258,1303
43259,1302.7
43262,1303.2
43263,1299.4
43264,1301.3
43265,1308.3
43266,1278.5
43269,1280.1
43270,1278.6
43271,1274.5
43272,1270.5
43273,1270.7
43276,1268.9
43277,1259.9
43278,1256.1
43279,1251
43280,1254.5
43283,1241.7
43284,1253.5
43286,1258.8
43287,1255.8
43290,1259.6
43291,1255.4
43292,1244.4
43293,1246.6
43294,1241.2
43297,1239.7
43298,1227.3
43299,1227.9
43300,1224
43301,1231.1
43304,1234.4
43305,1234.6
43306,1241
43307,1235.3
43308,1232.7
43311,1231.5
43312,1233.6
43313,1227.6
43314,1210.6
43315,1223.2
43318,1208.6
43319,1218.3
43320,1221
43321,1219.9
43322,1219
43325,1198.9
43326,1193
43327,1185
43328,1184
43329,1184.2
43332,1194.6
43333,1200
43334,1203.3
43335,1194
43336,1213.3
43339,1216
43340,1207.4
43341,1211.5
43342,1205
43343,1206.7
43347,1199.1
43348,1201.3
43349,1204.3
43350,1200.4
43353,1199.8
43354,1202.2
43355,1210.9
43356,1208.2
43357,1201.1
43360,1205.8
43361,1202.9
43362,1202.2
43363,1211.3
43364,1201.3
43367,1204.4
43368,1205.1
43369,1199.1
43370,1182.3
43371,1196.2
43374,1191.7
43375,1207
43376,1202.9
43377,1201.6
43378,1205.6
43381,1184.4
43382,1191.5
43383,1193.4
43384,1227.6
43385,1222
43388,1226.4
43389,1231
43390,1227.4
43391,1230.1
43392,1228.7
43395,1224.6
43396,1236.8
43397,1231.1
43398,1232.4
43399,1235.8
43402,1227.6
43403,1225.3
43404,1215
43405,1238.6
43406,1233.3
43409,1232.3
43410,1226.3
43411,1228.7
43412,1225.1
43413,1208.6
43416,1201.3
43417,1199.2
43418,1210.1
43419,1215
43420,1223
43423,1225.3
43424,1221.2
43425,1225.8
43427,1223.2
43430,1228.7
43431,1219.9
43432,1229.8
43433,1230.4
43434,1226
43437,1239.6
43438,1246.6
43439,1242.6
43440,1243.6
43441,1252.6
43444,1249.4
43445,1247.2
43446,1250
43447,1247.4
43448,1241.4
43451,1251.8
43452,1253.6
43453,1256.4
43454,1267.9
43455,1258.1
43458,1271.8
43460,1273
43461,1281.1
43462,1283
43465,1281.3
43467,1284.1
43468,1294.8
43469,1285.8
43472,1289.9
43473,1285.9
43474,1292
43475,1287.4
43476,1289.5
43479,1289.1
43480,1288.4
43481,1293.8
43482,1292.3
43483,1282.6
43487,1283.4
43488,1290.2
43489,1285.9
43490,1304.2
43493,1309.3
43494,1315.2
43495,1315.5
43496,1325.2
43497,1322.1
43500,1319.3
43501,1319.2
43502,1314.4
43503,1314.2
43504,1318.5
43507,1307
43508,1314
43509,1310.8
43510,1313.9
43511,1322.1
43515,1344.8
43516,1347.9
43517,1327.8
43518,1332.8
43521,1329.5
43522,1328.5
43523,1317.7
43524,1316.1
43525,1299.2
43528,1287.5
43529,1284.7
43530,1287.6
43531,1286.1
43532,1299.3
43535,1291.1
43536,1296.3
43537,1309.3
43538,1293.4
43539,1302.9
43542,1301.5
43543,1306.5
43544,1300.5
43545,1313.6
43546,1318.7
43549,1329
43550,1321.4
43551,1316.9
43552,1295.3
43553,1298.5
43556,1294.2
43557,1295.4
43558,1295.3
43559,1294.3
43560,1295.6
43563,1297.1
43564,1308.3
43565,1313.9
43566,1293.3
43567,1295.2
43570,1291.3
43571,1277.2
43572,1276.8
43573,1276
43577,1277.6
43578,1273.2
43579,1279.4
43580,1279.7
43581,1288.8
43584,1281.5
43585,1282.8
43586,1284.2
43587,1272
43588,1281.3
43591,1283.8
43592,1285.6
43593,1281.4
43594,1285.2
43595,1287.4
43598,1301.8
43599,1296.3
43600,1297.8
43601,1286.2
43602,1275.7
43605,1277.3
43606,1273.2
43607,1274.2
43608,1291
43609,1289.2
43613,1282.5
43614,1286.3
43615,1287.1
43616,1311.1
43619,1327.9
43620,1323.4
43621,1333.6
43622,1342.7
43623,1346.1
43626,1329.3
43627,1331.2
43628,1336.8
43629,1343.7
43630,1344.5
43633,1342.9
43634,1350.7
43635,1348.8
43636,1396.9
43637,1400.1
43640,1418.2
43641,1418.7
43642,1411.6
43643,1412
43644,1409.7
43647,1385.6
43648,1408
43649,1420.9
43651,1400.1
43654,1400
43655,1400.5
43656,1412.5
43657,1406.7
43658,1412.2
43661,1413.5
43662,1411.2
43663,1421.3
43664,1428.1
43665,1426.7
43668,1426.9
43669,1421.7
43670,1436.5
43671,1427.5
43672,1432.2
43675,1433.3
43676,1441.8
43677,1437.8
43678,1432.4
43679,1457.5
43682,1464.6
43683,1484.2
43684,1507.3
43685,1509.5
43686,1508.5
43689,1517.2
43690,1514.1
43691,1527.8
43692,1531.2
43693,1523.6
43696,1511.6
43697,1515.7
43698,1515.7
43699,1497.3
43700,1537.6
43703,1537.2
43704,1551.8
43705,1549.1
43706,1536.9
43707,1529.2
43711,1555.9
43712,1560.4
43713,1525.5
43714,1506.2
43717,1511.1
43718,1499.2
43719,1503.2
43720,1507.4
43721,1490.9
43724,1503.1
43725,1513.4
43726,1515.8
43727,1506.2
43728,1507.3
43731,1531.5
43732,1532.1
43733,1512.3
43734,1515.2
43735,1506.4
43738,1472.9
43739,1489
43740,1501
43741,1513.8
43742,1506.2
43745,1504.4
43746,1497.2
43747,1512.8
43748,1500.9
43749,1488.7
43752,1497.6
43753,1483.5
43754,1494
43755,1498.3
43756,1488.2
43759,1488.1
43760,1487.5
43761,1495.7
43762,1504.7
43763,1499.5
43766,1495.8
43767,1490.7
43768,1493.2
43769,1514.8
43770,1508
43773,1511.1
43774,1483.7
43775,1493.1
43776,1464.2
43777,1461.3
43780,1457.1
43781,1452.1
43782,1463.3
43783,1473.4
43784,1467.3
43787,1471.9
43788,1473.3
43789,1470
43790,1470.5
43791,1468.8
43794,1463.8
43795,1467.4
43796,1453.4
43798,1472.7
43801,1469.2
43802,1478.2
43803,1480.2
43804,1483.1
43805,1459.1
43808,1464.9
43809,1462.6
43810,1475
43811,1472.3
43812,1475.6
43815,1480.5
43816,1480.6
43817,1478.7
43818,1478.2
43819,1474.7
43822,1488.7
43823,1499.1
43825,1514.4
43826,1518.1
43829,1518.6
43830,1519.5
43832,1528.1
43833,1549.2
43836,1568.8
43837,1574.3
43838,1560.2
43839,1554.3
43840,1557.5
43843,1550.6
43844,1544.6
43845,1554
43846,1550.5
43847,1558.8
43851,1556.4
43852,1556.7
43853,1571.6
43854,1571.1
43857,1583.7
43858,1575.8
43859,1576
43860,1589.2
43861,1582.9
43864,1582.4
43865,1555.5
43866,1562.8
43867,1570
43868,1568.6
43871,1579.5
43872,1565.6
43873,1571.6
43874,1578.8
43875,1582.7
43879,1600
43880,1611.8
43881,1620.5
43882,1644.6
43885,1676.6
43886,1650
43887,1643.1
43888,1642.5
43889,1564.1
43892,1592.3
43893,1642.1
43894,1643
43895,1666.4
43896,1672.4
43899,1675.7
43900,1659.1
43901,1642.3
43902,1590.3
43903,1516.7
43906,1486.5
43907,1524.9
43908,1477.9
43909,1479.3
43910,1484
43913,1572.7
43914,1660.2
43915,1634.3
43916,1660.3
43917,1623.9
43920,1643.2
43921,1583.4
43922,1591.4
43923,1637.7
43924,1633.7
43927,1677
43928,1683.7
43929,1684.3
43930,1736.2
43934,1744.8
43935,1768.9
43936,1740.2
43937,1731.7
43938,1689.2
43941,1711.2
43942,1687.8
43943,1738.3
43944,1745.4
43945,1723.5
43948,1723.8
43949,1722.2
43950,1703.4
43951,1694.2
43952,1694.5
43955,1713.3
43956,1710.6
43957,1688.5
43958,1725.8
43959,1709.9
43962,1698
43963,1706.8
43964,1716.4
43965,1740.9
43966,1753.4
43969,1734.4
43970,1745.6
43971,1750.6
43972,1721.9
43973,1734.6
43977,1728.2
43978,1726.8
43979,1728.3
43980,1736.9
43983,1750.3
43984,1734
43985,1704.8
43986,1727.4
43987,1683
43990,1705.1
43991,1721.9
43992,1720.7
43993,1739.8
43994,1737.3
43997,1727.2
43998,1736.5
43999,1735.6
44000,1731.1
44001,1753
44004,1766.4
44005,1782
44006,1775.1
44007,1770.6
44008,1780.3
44011,1781.2
44012,1800.5
44013,1779.9
44014,1790
44018,1793.5
44019,1809.9
44020,1820.6
44021,1803.8
44022,1801.9
44025,1814.1
44026,1813.4
44027,1813.8
44028,1800.3
44029,1810
44032,1817.4
44033,1843.9
44034,1865.1
44035,1890
44036,1897.5
44039,1955.4
44040,1963.9
44041,1976.7
44042,1966.8
44043,1985.9
44046,1986.3
44047,2021
44048,2049.3
44049,2069.4
44050,2028
44053,2039.7
44054,1946.3
44055,1949
44056,1970.4
44057,1949.8
44060,1998.7
44061,2013.1
44062,1970.3
44063,1946.5
44064,1947
44067,1939.2
44068,1923.1
44069,1952.5
44070,1932.6
44071,1974.9
44074,1978.6
44075,1978.9
44076,1944.7
44077,1937.8
44078,1934.3
44082,1943.2
44083,1954.9
44084,1964.3
44085,1947.9
44088,1963.7
44089,1966.2
44090,1970.5
44091,1949.9
44092,1962.1
44095,1910.6
44096,1907.6
44097,1868.4
44098,1876.9
44099,1866.3
44102,1882.3
44103,1903.2
44104,1895.5
44105,1916.3
44106,1907.6
44109,1920.1
44110,1908.8
44111,1890.8
44112,1895.1
44113,1926.2
44116,1928.9
44117,1894.6
44118,1907.3
44119,1908.9
44120,1906.4
44123,1911.7
44124,1915.4
44125,1929.5
44126,1904.6
44127,1905.2
44130,1905.7
44131,1911.9
44132,1879.2
44133,1868
44134,1879.9
44137,1892.5
44138,1910.4
44139,1896.2
44140,1946.8
44141,1951.7
44144,1854.4
44145,1876.4
44146,1861.6
44147,1873.3
44148,1886.2
44151,1887.8
44152,1885.1
44153,1873.9
44154,1861.5
44155,1872.4
44158,1844.1
44159,1810.9
44160,1811.2
44162,1788.1
44165,1780.9
44166,1818.9
44167,1830.2
44168,1841.1
44169,1840
44172,1866
44173,1874.9
44174,1838.5
44175,1837.4
44176,1843.6
44179,1832.1
44180,1855.3
44181,1859.1
44182,1890.4
44183,1888.9
44186,1882.8
44187,1870.3
44188,1878.1
44189,1883.2
44193,1880.4
44194,1882.9
44195,1893.4
44196,1895.1
44200,1946.6
44201,1954.4
44202,1908.6
44203,1913.6
44204,1835.4
44207,1850.8
44208,1844.2
44209,1854.9
44210,1851.4
44211,1829.9
44215,1840.2
44216,1870.2
44217,1869.3
44218,1859.9
44221,1859
44222,1854.8
44223,1848.9
44224,1841.2
44225,1850.3
44228,1863.9
44229,1833.4
44230,1835.1
44231,1791.2
44232,1813
44235,1834.2
44236,1837.5
44237,1842.7
44238,1826.8
44239,1823.2
44243,1799
44244,1772.8
44245,1775
44246,1777.4
44249,1808.4
44250,1805.9
44251,1797.9
44252,1775.4
44253,1728.8
44256,1723
44257,1733.6
44258,1715.8
44259,1700.7
44260,1698.5
44263,1678
44264,1716.9
44265,1721.8
44266,1722.6
44267,1719.8
44270,1729.2
44271,1730.9
44272,1727.1
44273,1734.6
44274,1743.9
44277,1740.4
44278,1727.5
44279,1735.5
44280,1727.3
44281,1734.7
44284,1714.6
44285,1686
44286,1715.6
44287,1728.4
44291,1728.8
44292,1743
44293,1741.6
44294,1758.2
44295,1744.8
44298,1732.7
44299,1747.6
44300,1736.3
44301,1766.8
44302,1780.2
44305,1770.6
44306,1778.4
44307,1793.1
44308,1782
44309,1777.8
44312,1780.1
44313,1778.8
44314,1773.9
44315,1768.3
44316,1767.7
44319,1791.8
44320,1776
44321,1784.3
44322,1815.7
44323,1831.3
44326,1837.6
44327,1836.1
44328,1822.8
44329,1824
44330,1838.1
44333,1867.6
44334,1868
44335,1881.5
44336,1883.9
44337,1878.9
44340,1886.7
44341,1900.5
44342,1903.8
44343,1898.5
44344,1905.3
44348,1905
44349,1909.9
44350,1873.3
44351,1892
44354,1898.8
44355,1894.4
44356,1895.5
44357,1896.4
44358,1879.6
44361,1865.9
44362,1856.4
44363,1861.4
44364,1774.8
44365,1769
44368,1782.9
44369,1777.4
44370,1783.4
44371,1776.7
44372,1777.8
44375,1780.7
44376,1763.6
44377,1771.6
44378,1776.8
44379,1783.3
44383,1794.2
44384,1802.1
44385,1800.2
44386,1810.6
44389,1805.9
44390,1809.9
44391,1825
44392,1829
44393,1815
44396,1809.2
44397,1811.4
44398,1807.4
44399,1809.2
44400,1805.9
44403,1803.4
44404,1804
44405,1804.6
44406,1835.8
44407,1817.2
44410,1822.2
44411,1814.1
44412,1814.5
44413,1808.9
44414,1763.1
44417,1726.5
44418,1731.7
44419,1753.3
44420,1751.8
44421,1778.2
44424,1789.8
44425,1787.8
44426,1784.4
44427,1783.1
44428,1784
44431,1806.3
44432,1808.5
44433,1791
44434,1795.2
44435,1819.5
44438,1812.2
44439,1818.1
44440,1816
44441,1811.5
44442,1833.7
44446,1798.5
44447,1793.5
44448,1800
44449,1792.1
44452,1794.4
44453,1807.1
44454,1794.8
44455,1756.7
44456,1751.4
44459,1763.8
44460,1778.2
44461,1778.8
44462,1749.8
44463,1751.7
44466,1752
44467,1737.5
44468,1722.9
44469,1757
44470,1758.4
44473,1767.6
44474,1760.9
44475,1761.8
44476,1759.2
44477,1757.4
44480,1755.7
44481,1759.3
44482,1794.7
44483,1797.9
44484,1768.3
44487,1765.7
44488,1770.5
44489,1784.9
44490,1781.9
44491,1796.3
44494,1806.8
44495,1793.4
44496,1798.8
44497,1802.6
44498,1783.9
44501,1795.8
44502,1789.4
44503,1763.9
44504,1793.5
44505,1816.8
44508,1828
44509,1830.8
44510,1848.3
44511,1863.9
44512,1868.5
44515,1866.6
44516,1854.1
44517,1872.8
44518,1864
44519,1854.3
44522,1809.1
44523,1786.3
44524,1786.9
44526,1788.1
44529,1785.2
44530,1776.5
44531,1784.3
44532,1762.7
44533,1783.9
44536,1779.5
44537,1784.7
44538,1785.5
44539,1776.7
44540,1784.8
44543,1788.3
44544,1772.3
44545,1764.5
44546,1798.2
44547,1804.9
44550,1794.6
44551,1788.7
44552,1802.2
44553,1811.7
44557,1808.8
44558,1810.9
44559,1805.8
44560,1814.1
44561,1828.6
